plan_a,seed_a,split_a,plan_b,seed_b,split_b,K,distance_a,distance_b,relative_cost_gap,delta_frac,recovery_rate_a,recovery_rate_b,abs_recovery_gap,absorbed_customer_frac_a,absorbed_customer_frac_b,abs_absorbed_customer_gap,absorbed_workload_frac_a,absorbed_workload_frac_b,abs_absorbed_workload_gap
0,0,0,21,7,0,6,1224767.0,1232962.0,0.006691068586923064,0.2,0.0,0.0,0.0,0.1314119455423803,0.03857585139318886,0.09283609414919144,0.06520590692491397,0.008664003914871812,0.05654190301004216
0,0,0,21,7,0,6,1224767.0,1232962.0,0.006691068586923064,0.4,0.0,0.0,0.0,0.18975991802078762,0.03857585139318886,0.15118406662759876,0.10151619784377548,0.008664003914871812,0.09285219392890368
0,0,0,24,8,0,6,1224767.0,1228267.0,0.002857686400760308,0.05,0.0,0.0,0.0,0.056657151222368606,0.07713801767846727,0.020480866456098666,0.018011579480703314,0.026862450007773483,0.008850870527070169
0,0,0,24,8,0,6,1224767.0,1228267.0,0.002857686400760308,0.1,0.0,0.0,0.0,0.10346581759625235,0.09271772782339481,0.010748089772857544,0.04963757109073563,0.029376165072520406,0.020261406018215227
0,0,0,24,8,0,6,1224767.0,1228267.0,0.002857686400760308,0.2,0.0,0.0,0.0,0.1314119455423803,0.10252164939202224,0.02889029615035807,0.06520590692491397,0.032743168439523775,0.0324627384853902
0,0,0,24,8,0,6,1224767.0,1228267.0,0.002857686400760308,0.4,0.0,0.0,0.0,0.18975991802078762,0.10252164939202224,0.08723826862876538,0.10151619784377548,0.032743168439523775,0.0687730294042517
0,0,0,27,9,0,6,1224767.0,1227644.0,0.002349018221424973,0.05,0.0,0.0,0.0,0.056657151222368606,0.04842105263157895,0.008236098590789658,0.018011579480703314,0.024345431999606662,0.006333852518903348
0,0,0,27,9,0,6,1224767.0,1227644.0,0.002349018221424973,0.1,0.0,0.0,0.0,0.10346581759625235,0.08081756679279899,0.022648250803453368,0.04963757109073563,0.03518730413003094,0.014450266960704693
0,0,0,27,9,0,6,1224767.0,1227644.0,0.002349018221424973,0.2,0.0,0.0,0.0,0.1314119455423803,0.0998807476206857,0.031531197921694606,0.06520590692491397,0.040715741335486784,0.02449016558942719
0,0,0,27,9,0,6,1224767.0,1227644.0,0.002349018221424973,0.4,0.0,0.0,0.0,0.18975991802078762,0.10654741428735237,0.08321250373343525,0.10151619784377548,0.04546311254783978,0.0560530852959357
0,0,0,30,10,0,6,1224767.0,1224780.0,1.0614263774252573e-05,0.05,0.0,0.0,0.0,0.056657151222368606,0.22985223074737138,0.17319507952500277,0.018011579480703314,0.15883167478770008,0.14082009530699677
0,0,0,30,10,0,6,1224767.0,1224780.0,1.0614263774252573e-05,0.1,0.0,0.0,0.0,0.10346581759625235,0.2802358624609264,0.17677004486467407,0.04963757109073563,0.18089827481962126,0.13126070372888562
0,0,0,30,10,0,6,1224767.0,1224780.0,1.0614263774252573e-05,0.2,0.0,0.0,0.0,0.1314119455423803,0.3335606706450696,0.2021487251026893,0.06520590692491397,0.20313143087649535,0.13792552395158136
0,0,0,30,10,0,6,1224767.0,1224780.0,1.0614263774252573e-05,0.4,0.0,0.0,0.0,0.18975991802078762,0.4092548613648357,0.21949494334404807,0.10151619784377548,0.2628168390856696,0.16130064124189414
0,0,0,33,11,0,6,1224767.0,1225701.0,0.0007625940280886078,0.05,0.0,0.0,0.0,0.056657151222368606,0.05747520976353929,0.0008180585411706812,0.018011579480703314,0.023806736656807076,0.005795157176103762
0,0,0,33,11,0,6,1224767.0,1225701.0,0.0007625940280886078,0.1,0.0,0.0,0.0,0.10346581759625235,0.09418831605868894,0.009277501537563418,0.04963757109073563,0.03896863795867558,0.010668933132060056
0,0,0,33,11,0,6,1224767.0,1225701.0,0.0007625940280886078,0.2,0.0,0.0,0.0,0.1314119455423803,0.11853995602817785,0.012871989514202459,0.06520590692491397,0.045632230976890675,0.019573675948023297
0,0,0,33,11,0,6,1224767.0,1225701.0,0.0007625940280886078,0.4,0.0,0.0,0.0,0.18975991802078762,0.11853995602817785,0.07121996199260977,0.10151619784377548,0.045632230976890675,0.05588396686688481
0,0,0,36,12,0,6,1224767.0,1228521.0,0.003065072785272627,0.05,0.0,0.0,0.0,0.056657151222368606,0.07522260111774179,0.018565449895373183,0.018011579480703314,0.02523165754328707,0.0072200780625837555
0,0,0,36,12,0,6,1224767.0,1228521.0,0.003065072785272627,0.1,0.0,0.0,0.0,0.10346581759625235,0.08355593445107512,0.019909883145177235,0.04963757109073563,0.023422109492329576,0.026215461598406056
0,0,0,36,12,0,6,1224767.0,1228521.0,0.003065072785272627,0.2,0.0,0.0,0.0,0.1314119455423803,0.10261911527896184,0.028792830263418473,0.06520590692491397,0.029007391475127087,0.03619851544978689
0,0,0,36,12,0,6,1224767.0,1228521.0,0.003065072785272627,0.4,0.0,0.0,0.0,0.18975991802078762,0.10261911527896184,0.08714080274182578,0.10151619784377548,0.032186924157765355,0.06932927368601013
0,0,0,39,13,0,6,1224767.0,1226796.0,0.00165664163061219,0.05,0.0,0.0,0.0,0.056657151222368606,0.140359477124183,0.0837023259018144,0.018011579480703314,0.08599237261636401,0.0679807931356607
