plan_id,seed,split_level,K,distance,delta_frac,lost_route_idx,lost_route_len,lost_route_cost,lost_workload,fully_absorbable,extra_units,max_absorbed_customers,absorbed_customer_frac,max_absorbed_workload,absorbed_workload_frac,min_full_absorption_delta,feasible_block_insertions,lost_route
3,1,0,6,1229609.0,0.4,1,18,191848.0,225.4,0,1,1,0.05555555555555555,3.6,0.015971606033717833,,4,93 78 31 58 28 94 4 38 5 19 70 11 23 39 79 57 73 63
3,1,0,6,1229609.0,0.4,2,21,135173.0,228.5,0,1,2,0.09523809523809523,4.9,0.021444201312910287,,4,13 20 49 61 21 15 91 33 90 50 85 59 80 86 6 83 53 22 96 67 62
3,1,0,6,1229609.0,0.4,3,17,295643.0,210.8,0,1,1,0.058823529411764705,2.0,0.009487666034155597,,1,25 9 55 14 54 76 92 40 42 65 52 3 60 26 68 37 18
3,1,0,6,1229609.0,0.4,4,20,201528.0,235.89999999999998,0,1,2,0.1,6.2,0.026282323018228065,,6,2 17 43 35 98 81 16 7 69 41 99 95 44 97 30 84 88 27 45 36
3,1,0,6,1229609.0,0.4,5,23,393145.0,227.40000000000003,0,1,1,0.043478260869565216,2.4,0.010554089709762531,,1,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
4,1,1,7,1248053.0,0.05,0,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,34.0,1,89
4,1,1,7,1248053.0,0.05,1,18,191848.0,225.4,0,1,1,0.05555555555555555,5.8999999999999995,0.026175687666370892,,3,93 78 31 58 28 94 4 38 5 19 70 11 23 39 79 57 73 63
4,1,1,7,1248053.0,0.05,2,21,135173.0,228.5,0,1,2,0.09523809523809523,8.0,0.0350109409190372,,5,13 20 49 61 21 15 91 33 90 50 85 59 80 86 6 83 53 22 96 67 62
4,1,1,7,1248053.0,0.05,3,17,295643.0,210.8,0,1,1,0.058823529411764705,4.2,0.019924098671726755,,2,25 9 55 14 54 76 92 40 42 65 52 3 60 26 68 37 18
4,1,1,7,1248053.0,0.05,4,20,201528.0,235.89999999999998,0,1,2,0.1,6.2,0.026282323018228065,,7,2 17 43 35 98 81 16 7 69 41 99 95 44 97 30 84 88 27 45 36
4,1,1,7,1248053.0,0.05,5,22,393145.0,225.00000000000003,0,1,0,0.0,0.0,0.0,,0,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46
