Dataset,Instance,scenario,monitor,n_days,false_rate,detect_rate,mean_delay
Dethloff,CON3-1,demand_mild,periodic,15,0.0,1.0,30.866666666666667
Dethloff,CON3-1,demand_mild,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,demand_severe,tempo2,15,0.0,1.0,26.333333333333332
Dethloff,CON3-1,demand_severe,tempo_flat,15,0.0,0.5333333333333333,40.0
Dethloff,CON3-1,demand_severe,cusum_cal,15,0.0,1.0,28.266666666666666
Dethloff,CON3-1,demand_severe,cusum_match,15,0.0,1.0,49.93333333333333
Dethloff,CON3-1,demand_severe,ph_match,15,0.0,0.5333333333333333,54.0
Dethloff,CON3-1,demand_severe,esr_match,15,0.0,1.0,31.733333333333334
Dethloff,CON3-1,demand_severe,ecusum_match,15,0.0,0.9333333333333333,31.857142857142858
Dethloff,CON3-1,demand_severe,bonferroni,15,0.0,1.0,25.666666666666668
Dethloff,CON3-1,demand_severe,periodic,15,0.0,1.0,31.0
Dethloff,CON3-1,demand_severe,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,dwell_mild,tempo2,15,0.0,1.0,28.6
Dethloff,CON3-1,dwell_mild,tempo_flat,15,0.0,0.3333333333333333,52.0
Dethloff,CON3-1,dwell_mild,cusum_cal,15,0.0,1.0,29.0
Dethloff,CON3-1,dwell_mild,cusum_match,15,0.0,1.0,52.0
Dethloff,CON3-1,dwell_mild,ph_match,15,0.0,0.06666666666666667,65.0
Dethloff,CON3-1,dwell_mild,esr_match,15,0.0,1.0,45.86666666666667
Dethloff,CON3-1,dwell_mild,ecusum_match,15,0.0,1.0,47.2
Dethloff,CON3-1,dwell_mild,bonferroni,15,0.0,1.0,22.0
Dethloff,CON3-1,dwell_mild,periodic,15,0.0,1.0,30.0
Dethloff,CON3-1,dwell_mild,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,dwell_severe,tempo2,15,0.0,1.0,2.6666666666666665
Dethloff,CON3-1,dwell_severe,tempo_flat,15,0.0,1.0,5.066666666666666
Dethloff,CON3-1,dwell_severe,cusum_cal,15,0.0,1.0,6.666666666666667
Dethloff,CON3-1,dwell_severe,cusum_match,15,0.0,1.0,13.0
Dethloff,CON3-1,dwell_severe,ph_match,15,0.0,1.0,16.533333333333335
Dethloff,CON3-1,dwell_severe,esr_match,15,0.0,1.0,2.3333333333333335
Dethloff,CON3-1,dwell_severe,ecusum_match,15,0.0,1.0,1.7333333333333334
Dethloff,CON3-1,dwell_severe,bonferroni,15,0.0,1.0,10.0
Dethloff,CON3-1,dwell_severe,periodic,15,0.0,1.0,30.0
Dethloff,CON3-1,dwell_severe,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,accident_mild,tempo2,15,0.0,0.06666666666666667,40.0
Dethloff,CON3-1,accident_mild,tempo_flat,15,0.0,0.06666666666666667,40.0
Dethloff,CON3-1,accident_mild,cusum_cal,15,0.0,0.4,55.0
Dethloff,CON3-1,accident_mild,cusum_match,15,0.0,0.2,61.666666666666664
Dethloff,CON3-1,accident_mild,ph_match,15,0.0,0.13333333333333333,60.0
Dethloff,CON3-1,accident_mild,esr_match,15,0.0,0.13333333333333333,85.0
Dethloff,CON3-1,accident_mild,ecusum_match,15,0.0,0.2,61.666666666666664
Dethloff,CON3-1,accident_mild,bonferroni,15,0.0,0.2,19.666666666666668
Dethloff,CON3-1,accident_mild,periodic,15,0.0,1.0,33.0
Dethloff,CON3-1,accident_mild,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,accident_severe,tempo2,15,0.0,0.8666666666666667,34.61538461538461
Dethloff,CON3-1,accident_severe,tempo_flat,15,0.0,0.7333333333333333,25.90909090909091
Dethloff,CON3-1,accident_severe,cusum_cal,15,0.0,1.0,26.0
Dethloff,CON3-1,accident_severe,cusum_match,15,0.0,0.9333333333333333,33.214285714285715
Dethloff,CON3-1,accident_severe,ph_match,15,0.0,0.8,32.916666666666664
Dethloff,CON3-1,accident_severe,esr_match,15,0.0,0.8,29.166666666666668
Dethloff,CON3-1,accident_severe,ecusum_match,15,0.0,0.8,29.5
Dethloff,CON3-1,accident_severe,bonferroni,15,0.0,1.0,31.666666666666668
Dethloff,CON3-1,accident_severe,periodic,15,0.0,1.0,33.0
Dethloff,CON3-1,accident_severe,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,breakdown,tempo2,15,0.0,0.8,31.25
Dethloff,CON3-1,breakdown,tempo_flat,15,0.0,0.8,31.25
Dethloff,CON3-1,breakdown,cusum_cal,15,0.0,0.8,29.916666666666668
Dethloff,CON3-1,breakdown,cusum_match,15,0.0,0.8,31.25
Dethloff,CON3-1,breakdown,ph_match,15,0.0,0.8,31.25
Dethloff,CON3-1,breakdown,esr_match,15,0.0,0.8,29.416666666666668
Dethloff,CON3-1,breakdown,ecusum_match,15,0.0,0.8,29.416666666666668
Dethloff,CON3-1,breakdown,bonferroni,15,0.0,0.8,30.166666666666668
Dethloff,CON3-1,breakdown,periodic,15,0.0,1.0,22.066666666666666
Dethloff,CON3-1,breakdown,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,traffic_ramp,tempo2,15,0.0,1.0,7.2
Dethloff,CON3-1,traffic_ramp,tempo_flat,15,0.0,1.0,13.333333333333334
Dethloff,CON3-1,traffic_ramp,cusum_cal,15,0.0,1.0,11.666666666666666
Dethloff,CON3-1,traffic_ramp,cusum_match,15,0.0,1.0,24.333333333333332
Dethloff,CON3-1,traffic_ramp,ph_match,15,0.0,0.9333333333333333,30.214285714285715
Dethloff,CON3-1,traffic_ramp,esr_match,15,0.0,1.0,8.466666666666667
