Route,Metro,n_stops,scenario,monitor,false_rate,detect_rate,mean_delay
RouteID_0085,DSE,171,breakdown,tempo2,0.08333333333333333,0.9166666666666666,77.27272727272727
RouteID_0085,DSE,171,breakdown,cusum_match,0.08333333333333333,0.9166666666666666,77.27272727272727
RouteID_0085,DSE,171,breakdown,ph_match,0.08333333333333333,0.9166666666666666,77.27272727272727
RouteID_0085,DSE,171,traffic_ramp,tempo2,0.08333333333333333,0.9166666666666666,100.18181818181819
RouteID_0085,DSE,171,traffic_ramp,cusum_match,0.0,1.0,166.83333333333334
RouteID_0085,DSE,171,traffic_ramp,ph_match,0.0,1.0,205.75
RouteID_0085,DSE,171,demand_ramp,tempo2,0.0,1.0,197.91666666666666
RouteID_0085,DSE,171,demand_ramp,cusum_match,0.0,1.0,406.6666666666667
RouteID_0085,DSE,171,demand_ramp,ph_match,0.0,0.25,486.0
RouteID_0085,DSE,171,traffic_transient,tempo2,0.0,1.0,11.25
RouteID_0085,DSE,171,traffic_transient,cusum_match,0.0,1.0,76.25
RouteID_0085,DSE,171,traffic_transient,ph_match,0.0,1.0,88.5
RouteID_0085,DSE,171,traffic_late,tempo2,0.16666666666666666,0.8333333333333334,25.7
RouteID_0085,DSE,171,traffic_late,cusum_match,0.16666666666666666,0.8333333333333334,91.7
RouteID_0085,DSE,171,traffic_late,ph_match,0.16666666666666666,0.8333333333333334,102.8
RouteID_0085,DSE,171,demand_late,tempo2,0.08333333333333333,0.9166666666666666,122.63636363636364
RouteID_0085,DSE,171,demand_late,cusum_match,0.16666666666666666,0.8333333333333334,273.4
RouteID_0085,DSE,171,demand_late,ph_match,0.16666666666666666,0.3333333333333333,390.0
RouteID_0085,DSE,171,storm,tempo2,0.08333333333333333,0.9166666666666666,61.0
RouteID_0085,DSE,171,storm,cusum_match,0.08333333333333333,0.9166666666666666,152.45454545454547
RouteID_0085,DSE,171,storm,ph_match,0.08333333333333333,0.9166666666666666,100.0909090909091
RouteID_0085,DSE,171,rush_crush,tempo2,0.08333333333333333,0.9166666666666666,25.0
RouteID_0085,DSE,171,rush_crush,cusum_match,0.0,1.0,130.58333333333334
RouteID_0085,DSE,171,rush_crush,ph_match,0.0,1.0,121.58333333333333
RouteID_0085,DSE,171,black_day,tempo2,0.0,1.0,10.25
RouteID_0085,DSE,171,black_day,cusum_match,0.0,1.0,53.083333333333336
RouteID_0085,DSE,171,black_day,ph_match,0.0,1.0,25.25
RouteID_008b,DLA,97,null,tempo2,0.0,,
RouteID_008b,DLA,97,null,cusum_match,0.08333333333333333,,
RouteID_008b,DLA,97,null,ph_match,0.0,,
RouteID_008b,DLA,97,null_rain,tempo2,0.0,,
RouteID_008b,DLA,97,null_rain,cusum_match,0.0,,
RouteID_008b,DLA,97,null_rain,ph_match,0.0,,
RouteID_008b,DLA,97,traffic_mild,tempo2,0.0,1.0,81.0
RouteID_008b,DLA,97,traffic_mild,cusum_match,0.0,1.0,283.5
RouteID_008b,DLA,97,traffic_mild,ph_match,0.0,0.08333333333333333,92.0
RouteID_008b,DLA,97,traffic_severe,tempo2,0.08333333333333333,0.9166666666666666,15.0
RouteID_008b,DLA,97,traffic_severe,cusum_match,0.08333333333333333,0.9166666666666666,72.27272727272727
RouteID_008b,DLA,97,traffic_severe,ph_match,0.08333333333333333,0.9166666666666666,85.81818181818181
RouteID_008b,DLA,97,demand_mild,tempo2,0.08333333333333333,0.5833333333333334,220.57142857142858
RouteID_008b,DLA,97,demand_mild,cusum_match,0.08333333333333333,0.16666666666666666,219.0
RouteID_008b,DLA,97,demand_mild,ph_match,0.08333333333333333,0.25,188.66666666666666
RouteID_008b,DLA,97,demand_severe,tempo2,0.25,0.75,42.22222222222222
RouteID_008b,DLA,97,demand_severe,cusum_match,0.08333333333333333,0.9166666666666666,159.0909090909091
RouteID_008b,DLA,97,demand_severe,ph_match,0.08333333333333333,0.5,319.6666666666667
RouteID_008b,DLA,97,dwell_mild,tempo2,0.08333333333333333,0.9166666666666666,48.18181818181818
RouteID_008b,DLA,97,dwell_mild,cusum_match,0.08333333333333333,0.9166666666666666,183.63636363636363
RouteID_008b,DLA,97,dwell_mild,ph_match,0.08333333333333333,0.5833333333333334,258.2857142857143
RouteID_008b,DLA,97,dwell_severe,tempo2,0.0,1.0,5.833333333333333
RouteID_008b,DLA,97,dwell_severe,cusum_match,0.0,1.0,47.083333333333336
RouteID_008b,DLA,97,dwell_severe,ph_match,0.0,1.0,53.416666666666664
RouteID_008b,DLA,97,accident_mild,tempo2,0.08333333333333333,0.5,166.66666666666666
RouteID_008b,DLA,97,accident_mild,cusum_match,0.08333333333333333,0.5,141.66666666666666
RouteID_008b,DLA,97,accident_mild,ph_match,0.08333333333333333,0.5,141.66666666666666
RouteID_008b,DLA,97,accident_severe,tempo2,0.0,0.4166666666666667,219.6
RouteID_008b,DLA,97,accident_severe,cusum_match,0.0,0.25,153.33333333333334
RouteID_008b,DLA,97,accident_severe,ph_match,0.0,0.3333333333333333,216.25
RouteID_008b,DLA,97,breakdown,tempo2,0.08333333333333333,0.9166666666666666,37.27272727272727
RouteID_008b,DLA,97,breakdown,cusum_match,0.08333333333333333,0.9166666666666666,37.27272727272727
RouteID_008b,DLA,97,breakdown,ph_match,0.08333333333333333,0.9166666666666666,37.27272727272727
RouteID_008b,DLA,97,traffic_ramp,tempo2,0.08333333333333333,0.9166666666666666,85.9090909090909
RouteID_008b,DLA,97,traffic_ramp,cusum_match,0.08333333333333333,0.9166666666666666,158.1818181818182
RouteID_008b,DLA,97,traffic_ramp,ph_match,0.08333333333333333,0.9166666666666666,185.54545454545453
RouteID_008b,DLA,97,demand_ramp,tempo2,0.08333333333333333,0.9166666666666666,183.45454545454547
RouteID_008b,DLA,97,demand_ramp,cusum_match,0.08333333333333333,0.5833333333333334,266.85714285714283
RouteID_008b,DLA,97,demand_ramp,ph_match,0.08333333333333333,0.3333333333333333,246.25
RouteID_008b,DLA,97,traffic_transient,tempo2,0.08333333333333333,0.9166666666666666,10.454545454545455
RouteID_008b,DLA,97,traffic_transient,cusum_match,0.0,1.0,59.666666666666664
RouteID_008b,DLA,97,traffic_transient,ph_match,0.0,1.0,63.916666666666664
RouteID_008b,DLA,97,traffic_late,tempo2,0.25,0.75,30.555555555555557
RouteID_008b,DLA,97,traffic_late,cusum_match,0.25,0.75,92.22222222222223
RouteID_008b,DLA,97,traffic_late,ph_match,0.25,0.75,135.33333333333334
RouteID_008b,DLA,97,demand_late,tempo2,0.08333333333333333,0.9166666666666666,83.45454545454545
RouteID_008b,DLA,97,demand_late,cusum_match,0.08333333333333333,0.4166666666666667,112.4
RouteID_008b,DLA,97,demand_late,ph_match,0.08333333333333333,0.25,69.0
RouteID_008b,DLA,97,storm,tempo2,0.0,1.0,58.583333333333336
RouteID_008b,DLA,97,storm,cusum_match,0.0,1.0,138.16666666666666
RouteID_008b,DLA,97,storm,ph_match,0.0,1.0,83.0
RouteID_008b,DLA,97,rush_crush,tempo2,0.08333333333333333,0.9166666666666666,22.818181818181817
RouteID_008b,DLA,97,rush_crush,cusum_match,0.08333333333333333,0.9166666666666666,104.36363636363636
RouteID_008b,DLA,97,rush_crush,ph_match,0.08333333333333333,0.9166666666666666,95.45454545454545
RouteID_008b,DLA,97,black_day,tempo2,0.16666666666666666,0.8333333333333334,11.6
RouteID_008b,DLA,97,black_day,cusum_match,0.16666666666666666,0.8333333333333334,44.0
RouteID_008b,DLA,97,black_day,ph_match,0.16666666666666666,0.8333333333333334,23.4
RouteID_00a5,DLA,133,null,tempo2,0.0,,
RouteID_00a5,DLA,133,null,cusum_match,0.0,,
RouteID_00a5,DLA,133,null,ph_match,0.08333333333333333,,
RouteID_00a5,DLA,133,null_rain,tempo2,0.0,,
RouteID_00a5,DLA,133,null_rain,cusum_match,0.0,,
RouteID_00a5,DLA,133,null_rain,ph_match,0.0,,
RouteID_00a5,DLA,133,traffic_mild,tempo2,0.16666666666666666,0.8333333333333334,98.2
RouteID_00a5,DLA,133,traffic_mild,cusum_match,0.16666666666666666,0.8333333333333334,247.7
RouteID_00a5,DLA,133,traffic_mild,ph_match,0.16666666666666666,0.08333333333333333,152.0
RouteID_00a5,DLA,133,traffic_severe,tempo2,0.0,1.0,17.5
RouteID_00a5,DLA,133,traffic_severe,cusum_match,0.0,1.0,66.66666666666667
RouteID_00a5,DLA,133,traffic_severe,ph_match,0.0,1.0,104.25
RouteID_00a5,DLA,133,demand_mild,tempo2,0.08333333333333333,0.6666666666666666,250.375
RouteID_00a5,DLA,133,demand_mild,cusum_match,0.0,0.25,461.0
RouteID_00a5,DLA,133,demand_mild,ph_match,0.0,0.16666666666666666,444.0
RouteID_00a5,DLA,133,demand_severe,tempo2,0.08333333333333333,0.9166666666666666,40.45454545454545
RouteID_00a5,DLA,133,demand_severe,cusum_match,0.08333333333333333,0.9166666666666666,128.36363636363637
RouteID_00a5,DLA,133,demand_severe,ph_match,0.08333333333333333,0.75,249.0
RouteID_00a5,DLA,133,dwell_mild,tempo2,0.0,1.0,38.416666666666664
RouteID_00a5,DLA,133,dwell_mild,cusum_match,0.0,1.0,159.16666666666666
RouteID_00a5,DLA,133,dwell_mild,ph_match,0.0,0.5833333333333334,342.57142857142856
RouteID_00a5,DLA,133,dwell_severe,tempo2,0.0,1.0,9.166666666666666
RouteID_00a5,DLA,133,dwell_severe,cusum_match,0.0,1.0,44.166666666666664
RouteID_00a5,DLA,133,dwell_severe,ph_match,0.0,1.0,57.083333333333336
RouteID_00a5,DLA,133,accident_mild,tempo2,0.0,0.08333333333333333,131.0
RouteID_00a5,DLA,133,accident_mild,cusum_match,0.0,0.16666666666666666,80.5
RouteID_00a5,DLA,133,accident_mild,ph_match,0.0,0.08333333333333333,131.0
RouteID_00a5,DLA,133,accident_severe,tempo2,0.0,0.5,223.66666666666666
RouteID_00a5,DLA,133,accident_severe,cusum_match,0.0,0.6666666666666666,179.625
RouteID_00a5,DLA,133,accident_severe,ph_match,0.0,0.5,269.6666666666667
RouteID_00a5,DLA,133,breakdown,tempo2,0.0,1.0,55.416666666666664
RouteID_00a5,DLA,133,breakdown,cusum_match,0.0,1.0,55.416666666666664
RouteID_00a5,DLA,133,breakdown,ph_match,0.0,1.0,55.416666666666664
RouteID_00a5,DLA,133,traffic_ramp,tempo2,0.0,1.0,123.33333333333333
