instance,source,profile,policy,repetition,seed,N,dimension,alpha,capacity,iterations,direction,calls,coverage,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,full_gate_seconds,cert_gate_seconds,full_solver_seconds,cert_solver_seconds,gate_speedup,solver_speedup,solver_speedup_with_prep,prep_seconds,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,audit_checks,identity_pass
SCA3-1,SCA3-1.vrpspd,moderate,WDRO,2,1122040,50000,10,0.9,656.628145,20,SLOPE,9832,0.560720097640358,5109,404,4319,4.252746135069162,11.118999186330349,5,747.0477999999999,1005.8438305882353,91.9239531999865,45.118890999927316,92.0279855000008,45.23978200000056,2.037371734161963,2.0342269885385313,2.0335464843702042,0.015138999999180669,0.09993867562973295,1.3104386960567433,1.61146811561645,0.865606032126119,4.057819388434456,997,1
SCA3-2,SCA3-2.vrpspd,moderate,WDRO,0,1152026,50000,10,0.9,707.770435,20,SLOPE,9859,0.5950907799979714,5403,464,3992,3.8059640937214727,10.446495587787808,5,725.2585,979.4646364705882,91.32375450000109,41.13323219999074,91.43282829999953,41.25467650000064,2.2201939797967456,2.2163021518299413,2.2154850500479943,0.015215299999908893,0.09938381697347112,1.2216728386842657,1.4754341843647039,0.9006514022352825,4.045717625299949,736,1
SCA3-2,SCA3-2.vrpspd,moderate,WDRO,1,1162033,50000,10,0.9,707.770435,20,SLOPE,9472,0.5716849662162162,5043,372,4057,3.8081714527027026,10.446157094594595,5,725.2585,979.4646364705882,86.24684310019802,41.56496819989843,86.34938939999847,41.68303450000167,2.0749887906905404,2.0715715742814984,2.07081567725644,0.015215299999908893,0.09938381697347112,1.2216728386842657,1.4754341843647039,0.9006514022352825,4.045717625299949,736,1
SCA3-2,SCA3-2.vrpspd,moderate,WDRO,2,1172040,50000,10,0.9,707.770435,20,SLOPE,9523,0.6082116979943295,5293,499,3731,3.8345059330043054,10.417095453113514,5,725.2585,979.4646364705882,85.32222279996131,38.54686899999069,85.42430349999995,38.65725410000232,2.2134670081759924,2.20978715350594,2.2089177346403184,0.015215299999908893,0.09938381697347112,1.2216728386842657,1.4754341843647039,0.9006514022352825,4.045717625299949,736,1
SCA3-3,SCA3-3.vrpspd,moderate,WDRO,0,1202026,50000,10,0.9,730.57976,20,SLOPE,10413,0.5768750600211274,5530,477,4406,4.060405262652454,10.789878037069048,5,750.3247,1003.3784407843137,105.63037540051664,55.93770889994994,105.76521950000097,56.09296379999796,1.8883572008543805,1.8855345186806622,1.8850291364410254,0.015038699999422533,0.09976470115405092,1.2311832796395152,1.4895629070373808,0.8967463727868802,4.054192698550801,636,1
SCA3-3,SCA3-3.vrpspd,moderate,WDRO,1,1212033,50000,10,0.9,730.57976,20,SLOPE,8934,0.5939109021714798,4812,494,3628,3.856503246026416,10.906648757555406,5,719.7927999999999,972.8465407843137,91.20049100002507,43.464562099696195,91.32970249999926,43.601489100001345,2.0982723992671386,2.094646407386037,2.0939241866932297,0.015038699999422533,0.09976470115405092,1.2311832796395152,1.4895629070373808,0.8967463727868802,4.054192698550801,636,1
SCA3-3,SCA3-3.vrpspd,moderate,WDRO,2,1222040,50000,10,0.9,730.57976,20,SLOPE,8603,0.6351272811809834,5276,188,3139,3.8305242357317213,10.662210856677904,5,750.3247,1003.3784407843137,88.23977259993626,35.84500580005988,88.3624555000024,35.96014439999999,2.461703398574673,2.457233055493582,2.4562058587549993,0.015038699999422533,0.09976470115405092,1.2311832796395152,1.4895629070373808,0.8967463727868802,4.054192698550801,636,1
SCA3-4,SCA3-4.vrpspd,moderate,WDRO,0,1252026,50000,10,0.9,838.3889149999999,20,SLOPE,8494,0.7580645161290323,6130,309,2055,3.6302095596891926,10.606663527195668,5,778.4981,1045.5015164705883,86.3623432997847,24.558524100106297,86.4758808000006,24.656319800000347,3.516593381090474,3.507250129031802,3.5048807119970165,0.016668500000378117,0.09932784680983668,1.2369584540920568,1.5041744434192246,0.894545673752325,4.059375363450696,847,1
SCA3-4,SCA3-4.vrpspd,moderate,WDRO,1,1262033,50000,10,0.9,838.3889149999999,20,SLOPE,9346,0.7160282473785576,6372,320,2654,3.681254012411727,10.574149368713888,5,778.4981,1045.5015164705883,92.35576779993062,32.726498600051855,92.47744330000205,32.8383802999997,2.8220485463050506,2.8161389951380427,2.814710270648018,0.016668500000378117,0.09932784680983668,1.2369584540920568,1.5041744434192246,0.894545673752325,4.059375363450696,847,1
SCA3-4,SCA3-4.vrpspd,moderate,WDRO,2,1272040,50000,10,0.9,838.3889149999999,20,SLOPE,9279,0.735531846104106,6549,276,2454,3.7219527966375687,10.353270826597694,5,760.4881,1027.4915164705883,91.74731469992912,29.084128299964505,91.87127280000277,29.193367600000784,3.1545492357094673,3.146991263865026,3.14519545561257,0.016668500000378117,0.09932784680983668,1.2369584540920568,1.5041744434192246,0.894545673752325,4.059375363450696,847,1
